filename,path,blur_level,brightness_level,processed_path,brightness,blur,contrast,edge_density,entropy,saturation_mean,sharpness_norm,log_blur,blur_level_ord
frame_000030.jpg,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/sampled_frames/frame_000030.jpg,low,1,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/Processed Images/frame_000030.jpg,96.21485966435185,163.12442717073043,46.328062509998674,0.051737075617283954,7.449563980102539,65.71370659722223,1.6954182134067046,5.094513272604027,0
frame_000060.jpg,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/sampled_frames/frame_000060.jpg,low,0,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/Processed Images/frame_000060.jpg,95.63398967978395,200.59827496851378,49.24698780001962,0.06305893132716049,7.529134273529053,73.07669126157407,2.0975625250250927,5.301304281116595,0
frame_000090.jpg,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/sampled_frames/frame_000090.jpg,low,0,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/Processed Images/frame_000090.jpg,95.6078264853395,193.7336349813772,45.83800101013268,0.05622299382716049,7.438777923583984,68.0802165316358,2.0263365466711845,5.266484205215599,0
frame_000240.jpg,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/sampled_frames/frame_000240.jpg,low,1,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/Processed Images/frame_000240.jpg,97.70808641975309,180.04611590675725,44.50619249641588,0.05755256558641975,7.423157691955566,57.21786506558642,1.8426940968896537,5.193213023112845,0
frame_000270.jpg,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/sampled_frames/frame_000270.jpg,low,1,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/Processed Images/frame_000270.jpg,98.21690634645061,216.36986386385988,43.79887145551275,0.06273341049382716,7.409960746765137,56.85424334490741,2.2029798097860707,5.376989280638714,0
frame_000360.jpg,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/sampled_frames/frame_000360.jpg,low,1,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/Processed Images/frame_000360.jpg,98.16275270061729,261.48471832954573,53.338301705283165,0.07281587577160493,7.635103702545166,87.46570939429013,2.6637875209474835,5.566375847111355,0
frame_000390.jpg,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/sampled_frames/frame_000390.jpg,medium,0,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/Processed Images/frame_000390.jpg,95.14461130401234,377.5237538387347,52.5179960796633,0.08853057484567901,7.628360748291016,87.74337191358025,3.967894184406847,5.933633493434401,1
frame_000420.jpg,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/sampled_frames/frame_000420.jpg,medium,1,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/Processed Images/frame_000420.jpg,97.63775896990741,273.8878008282174,52.80959727113979,0.08157600308641975,7.628372669219971,87.01240306712963,2.805142200237197,5.6127185401484985,1
frame_000450.jpg,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/sampled_frames/frame_000450.jpg,medium,1,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/Processed Images/frame_000450.jpg,97.86459490740741,365.3718539935237,53.36428727524187,0.08913869598765432,7.644615173339844,87.57561197916667,3.733442626577775,5.900915615781702,1
frame_000480.jpg,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/sampled_frames/frame_000480.jpg,medium,1,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/Processed Images/frame_000480.jpg,98.75838348765433,322.3349676887898,53.505174389667,0.08449266975308642,7.647404670715332,87.61002170138889,3.263874448341999,5.775591280263907,1
frame_000510.jpg,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/sampled_frames/frame_000510.jpg,medium,1,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/Processed Images/frame_000510.jpg,99.5825853587963,293.6085527578343,52.3080462179724,0.08030623070987654,7.6259918212890625,87.88317226080247,2.948392520153694,5.682247430368541,1
frame_000540.jpg,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/sampled_frames/frame_000540.jpg,medium,1,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/Processed Images/frame_000540.jpg,100.1865977044753,346.7807020136514,51.80744915243093,0.0881394675925926,7.612513542175293,89.35895206404321,3.4613481892579796,5.848692600375708,1
frame_000570.jpg,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/sampled_frames/frame_000570.jpg,high,1,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/Processed Images/frame_000570.jpg,95.84145543981481,454.73133248384966,51.11075250481592,0.09444299768518519,7.575859069824219,89.60021749614198,4.744620432280321,6.119706768691753,2
frame_000600.jpg,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/sampled_frames/frame_000600.jpg,high,0,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/Processed Images/frame_000600.jpg,95.7098755787037,447.7514870665044,51.297566315375555,0.09638695987654321,7.584044933319092,89.20923369984568,4.678216115954465,6.1042383643669105,2
frame_000630.jpg,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/sampled_frames/frame_000630.jpg,high,0,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/Processed Images/frame_000630.jpg,95.83644627700617,481.2780145524776,51.96590350981073,0.09891927083333334,7.594560623168945,89.61300009645062,5.0218682790002545,6.1764450980426355,2
frame_000660.jpg,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/sampled_frames/frame_000660.jpg,high,0,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/Processed Images/frame_000660.jpg,95.71168788580248,467.4474448896346,52.330739821010695,0.09930748456790124,7.601034164428711,88.81407021604939,4.883911780591034,6.147286927200341,2
frame_000690.jpg,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/sampled_frames/frame_000690.jpg,high,0,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/Processed Images/frame_000690.jpg,94.09988763503087,523.1798174931048,52.55168063464721,0.10374469521604938,7.602813720703125,86.91327739197531,5.559834608543192,6.259925226182481,2
frame_000720.jpg,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/sampled_frames/frame_000720.jpg,high,0,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/Processed Images/frame_000720.jpg,95.72293402777778,510.8065067400972,52.674666889319205,0.10256124614197532,7.6108269691467285,91.66125964506173,5.336302178697995,6.235990864367159,2
frame_000750.jpg,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/sampled_frames/frame_000750.jpg,high,0,/content/drive/MyDrive/Proyecto Integrador Equipo37/Video Segmentation/data/Processed Images/frame_000750.jpg,94.91266059027778,420.624343142065,54.48748985363982,0.09576051311728395,7.615181922912598,86.17634982638889,4.431698954538127,6.041740141151571,2
