filename,PC1,PC2,PC3
frame_000030.jpg,1.706387220144616,-1.3733869936859013,0.08438313344452858
frame_000060.jpg,-0.0940363379974056,-1.5192652773779367,-0.9938621063798966
frame_000090.jpg,0.3205357743001315,-2.304731467541116,-0.4442876939639954
frame_000240.jpg,2.301895264182055,-1.284441765776578,0.4451929397690104
frame_000270.jpg,2.371902205747024,-1.1772637584231165,0.7727538144023783
frame_000360.jpg,1.050981356300823,1.064636677534677,-0.5992588658301419
frame_000390.jpg,-1.4484961874669957,-0.3816738718822525,-0.44352035482489544
frame_000420.jpg,0.889818384153886,0.8316965802931394,-0.4094887726210729
frame_000450.jpg,0.4694178172795558,1.309146947186858,0.05286353098977873
frame_000480.jpg,0.9332548091108297,1.468401773384169,-0.2745881700018669
frame_000510.jpg,1.4618239631296739,1.3553460575877527,-0.2784301486299008
frame_000540.jpg,1.4590876893578195,1.589385710711252,0.11399899212607703
frame_000570.jpg,-0.32114822383899155,0.4941991851014637,1.0795388169956672
frame_000600.jpg,-1.460550488467113,-0.26510588943044594,0.18111827403982558
frame_000630.jpg,-1.654357155404216,0.025823059865759366,0.2681690492455658
frame_000660.jpg,-1.6704399851804714,0.0265218029489649,0.12410835313282281
frame_000690.jpg,-2.459069773585349,-0.2240760303388775,0.49649551074334086
frame_000720.jpg,-1.9090055261653722,0.24242722734189795,0.33306512153591095
frame_000750.jpg,-1.9480008056005,0.12236003250029094,-0.5082514241731361
